arm,evidence_layer,k,eta_task_SE,eta_task_SB,Delta_sel_task,signed_Delta_task_over_eta_task_SE,abs_Delta_task_over_eta_task_SE,Delta_sel_B,R_B,label,presentation_note
PV-B1,FULLY_PROSPECTIVE_VITS_SEED42,16,0.2239546134226032,0.24131651234651322,0.01736189892391002,0.07752418518455813,0.07752418518455813,0.2986740457306462,0.15317982345484796,NORMALIZED_AND_TASK_GAIN_SAME_DIRECTION,
PV-B1,FULLY_PROSPECTIVE_VITS_SEED42,32,0.29252476267909094,0.3343295147176797,0.041804752038588744,0.14291013060131905,0.14291013060131905,0.3415598975757125,0.2175009479606192,NORMALIZED_AND_TASK_GAIN_SAME_DIRECTION,
PV-B2,FULLY_PROSPECTIVE_VITS_SEED123,4,0.17916094312503214,0.18581003405733185,0.006649090932299706,0.037112390771795976,0.037112390771795976,0.24127018053573507,0.23154072562145364,NORMALIZED_AND_TASK_GAIN_SAME_DIRECTION,
PV-B2,FULLY_PROSPECTIVE_VITS_SEED123,8,0.21475566511504735,0.22690895913165735,0.01215329401661,0.056591261562759364,0.056591261562759364,0.28496828040317224,0.23254121812992057,NORMALIZED_AND_TASK_GAIN_SAME_DIRECTION,
PV-B2,FULLY_PROSPECTIVE_VITS_SEED123,16,0.23813925272000067,0.2688847403125055,0.03074548759250481,0.12910718095120058,0.12910718095120058,0.30486894945831244,0.2798713643949023,NORMALIZED_AND_TASK_GAIN_SAME_DIRECTION,
PV-B2,FULLY_PROSPECTIVE_VITS_SEED123,32,0.307603714684058,0.35585800917560395,0.048254294491545946,0.15687162471723815,0.15687162471723815,0.33981214593891795,0.3525838811551333,NORMALIZED_AND_TASK_GAIN_SAME_DIRECTION,
PV-C,PROSPECTIVE_STRESS_CASE_SINGLETON,4,0.185579506814046,0.18335613025232214,-0.002223376561723861,-0.011980722440176136,0.011980722440176136,0.29014875973004123,0.21030943931425675,DENOMINATOR_SELECTIVE_REVERSAL,"Single checkpoint stress case; dataset, input/tokenization, sequence length and positional dimension change together."
PV-C,PROSPECTIVE_STRESS_CASE_SINGLETON,8,0.20677837076389813,0.19287504122257818,-0.013903329541319953,-0.0672378329027214,0.0672378329027214,0.3176668261750929,0.19946234263215515,DENOMINATOR_SELECTIVE_REVERSAL,"Single checkpoint stress case; dataset, input/tokenization, sequence length and positional dimension change together."
PV-C,PROSPECTIVE_STRESS_CASE_SINGLETON,16,0.22079581315237123,0.19247632666536763,-0.02831948648700361,-0.1282609759790161,0.1282609759790161,0.29935042061556927,0.220919077218763,DENOMINATOR_SELECTIVE_REVERSAL,"Single checkpoint stress case; dataset, input/tokenization, sequence length and positional dimension change together."
PV-C,PROSPECTIVE_STRESS_CASE_SINGLETON,32,0.2549498972658737,0.20374148155849295,-0.051208415707380744,-0.20085678110306596,0.20085678110306596,0.2865479901419773,0.25788768877140406,DENOMINATOR_SELECTIVE_REVERSAL,"Single checkpoint stress case; dataset, input/tokenization, sequence length and positional dimension change together."
